installed_rank,version,description,type,script,checksum,installed_by,installed_on,execution_time,success
1,1,sequences,SQL,V1__sequences.sql,-270735125,postgres,2026-03-17 22:14:18.87257,14,t
2,2,employers,SQL,V2__employers.sql,-689593469,postgres,2026-03-17 22:14:18.967004,12,t
3,3,providers,SQL,V3__providers.sql,-839545182,postgres,2026-03-17 22:14:18.98693,10,t
4,4,provider sub tables,SQL,V4__provider_sub_tables.sql,-1618696638,postgres,2026-03-17 22:14:19.00312,12,t
5,5,users,SQL,V5__users.sql,1078071477,postgres,2026-03-17 22:14:19.021517,14,t
6,6,auth tokens,SQL,V6__auth_tokens.sql,1163423468,postgres,2026-03-17 22:14:19.043301,15,t
7,7,login audit,SQL,V7__login_audit.sql,-96967970,postgres,2026-03-17 22:14:19.065055,22,t
8,8,system config,SQL,V8__system_config.sql,615304478,postgres,2026-03-17 22:14:19.094561,23,t
9,9,medical categories,SQL,V9__medical_categories.sql,-1220346471,postgres,2026-03-17 22:14:19.124648,14,t
10,10,provider services,SQL,V10__provider_services.sql,-897707935,postgres,2026-03-17 22:14:19.144564,19,t
11,11,benefit policies,SQL,V11__benefit_policies.sql,-1648930042,postgres,2026-03-17 22:14:19.170055,18,t
12,12,provider contracts,SQL,V12__provider_contracts.sql,272712442,postgres,2026-03-17 22:14:19.194449,31,t
13,13,members,SQL,V13__members.sql,334614314,postgres,2026-03-17 22:14:19.233686,51,t
14,14,member import,SQL,V14__member_import.sql,1247228950,postgres,2026-03-17 22:14:19.295057,20,t
15,15,visits,SQL,V15__visits.sql,-991797689,postgres,2026-03-17 22:14:19.324371,24,t
16,16,eligibility,SQL,V16__eligibility.sql,-159252382,postgres,2026-03-17 22:14:19.35573,13,t
17,17,preauthorization,SQL,V17__preauthorization.sql,1851904857,postgres,2026-03-17 22:14:19.373877,23,t
18,18,claim batches,SQL,V18__claim_batches.sql,-932455948,postgres,2026-03-17 22:14:19.404503,6,t
19,19,claims,SQL,V19__claims.sql,470408557,postgres,2026-03-17 22:14:19.414501,23,t
20,20,claim lines,SQL,V20__claim_lines.sql,-716755365,postgres,2026-03-17 22:14:19.444952,8,t
21,21,claim sub tables,SQL,V21__claim_sub_tables.sql,561464771,postgres,2026-03-17 22:14:19.457313,21,t
22,22,financial,SQL,V22__financial.sql,-710585017,postgres,2026-03-17 22:14:19.484087,17,t
23,23,email settings,SQL,V23__email_settings.sql,-51704347,postgres,2026-03-17 22:14:19.507645,6,t
24,24,email preauth,SQL,V24__email_preauth.sql,-1225699697,postgres,2026-03-17 22:14:19.517479,12,t
25,25,seed data,SQL,V25__seed_data.sql,1793314810,postgres,2026-03-17 22:14:19.533783,15,t
26,26,fix benefit policies constraints,SQL,V26__fix_benefit_policies_constraints.sql,-2124044784,postgres,2026-03-17 22:14:19.555265,5,t
27,27,fix member barcode seq and policy name,SQL,V27__fix_member_barcode_seq_and_policy_name.sql,1081872223,postgres,2026-03-17 22:14:19.563877,3,t
28,28,fix visits missing columns and member card id,SQL,V28__fix_visits_missing_columns_and_member_card_id.sql,-226245248,postgres,2026-03-17 22:14:19.571402,1,t
29,29,fix providers column mismatch,SQL,V29__fix_providers_column_mismatch.sql,-1765466904,postgres,2026-03-18 00:59:42.095415,67,t
30,30,fix provider allowed employers and contracts schema,SQL,V30__fix_provider_allowed_employers_and_contracts_schema.sql,1248307250,postgres,2026-03-18 09:35:42.409699,61,t
31,31,fix providers name not null,SQL,V31__fix_providers_name_not_null.sql,997115839,postgres,2026-03-18 09:35:42.544295,4,t
32,32,fix provider admin documents and pricing items,SQL,V32__fix_provider_admin_documents_and_pricing_items.sql,60335442,postgres,2026-03-18 09:35:42.554803,67,t
33,33,fix benefit policies rules and provider contracts,SQL,V33__fix_benefit_policies_rules_and_provider_contracts.sql,-2048579003,postgres,2026-03-18 09:35:42.634745,37,t
34,34,production cleanup orphaned columns and constraints,SQL,V34__production_cleanup_orphaned_columns_and_constraints.sql,1661096092,postgres,2026-03-18 09:35:42.682519,45,t
35,35,cleanup medical categories legacy columns,SQL,V35__cleanup_medical_categories_legacy_columns.sql,743954026,postgres,2026-03-19 00:03:48.259043,121,t
36,36,add pricing item sub category and specialty,SQL,V36__add_pricing_item_sub_category_and_specialty.sql,-1405627007,postgres,2026-03-20 16:29:11.956336,36,t
37,37,fix claim number nullable,SQL,V37__fix_claim_number_nullable.sql,-942193907,postgres,2026-03-20 18:21:11.181846,21,t
38,38,add claim full coverage,SQL,V38__add_claim_full_coverage.sql,2082758456,postgres,2026-03-21 06:21:27.668196,46,t
39,39,add manual refused amount,SQL,V39__add_manual_refused_amount.sql,864021851,postgres,2026-03-21 13:52:23.473184,41,t
40,40,add coverage percent db constraint,SQL,V40__add_coverage_percent_db_constraint.sql,1744830395,postgres,2026-03-21 13:52:23.789302,12,t
41,41,add claim line refused breakdown,SQL,V41__add_claim_line_refused_breakdown.sql,-172170857,postgres,2026-03-21 14:00:30.002027,47,t
42,42,add claim soft delete fields,SQL,V42__add_claim_soft_delete_fields.sql,-775472293,postgres,2026-03-21 16:15:41.718944,44,t
43,43,map pricing items categories,SQL,V43__map_pricing_items_categories.sql,-916855713,postgres,2026-03-22 16:22:33.65629,14,t
44,44,add financial check constraints,SQL,V44__add_financial_check_constraints.sql,2083209431,postgres,2026-03-23 17:56:37.470964,174,t
45,45,fix reference type check constraint,SQL,V45__fix_reference_type_check_constraint.sql,2073436977,postgres,2026-03-29 08:19:56.544595,24,t
