policy_code,policy_name,status,category_code,category_name,encounter_type,coverage_percent,copay_percentage,requires_pre_approval,active,deleted,amount_limit,times_limit,days_limit,period_type,period_value,counting_method
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-AMBULANCE,الإسعاف المحلي,EMERGENCY,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-ANESTHESIA,نفقات التخدير,INPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-CCU,عناية القلب,INPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DAY-CARE,العلاج والرعاية اليومية,INPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DENT-EMERG,علاج الأسنان الطارئ للمريض داخل المستشفى,INPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DENT-IMPLANT,زراعة الأسنان,OUTPATIENT,50,50.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DENT-ORTHO,تقويم الأسنان,OUTPATIENT,50,50.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DENT-PROSTHO,تركيبات الأسنان,OUTPATIENT,50,50.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DENT-ROUTINE,علاج الأسنان الروتيني,OUTPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DIAGNOSTIC,الكشوفات الطبية,INPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DIALYSIS,الغسيل الكلوي,INPATIENT,75,25.00,f,t,f,,,,,,
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DME,الأجهزة والمعدات الطبية وفق تقرير الطبيب المختص,OUTPATIENT,75,25.00,f,t,f,1500.00,,,ANNUAL,1,EACH_UNIT
POL-2026-001,وثيقة جليانة,SUSPENDED,CAT-DRUG-GENERAL,أدوية الصرف العام,INPATIENT,75,25.00,f,t,f,,,,,,
